elbow_angle1,shoulder_angle1,hip_angle1,knee_angle1,head_y1,hip_y1,ankle_y1,elbow_angle2,shoulder_angle2,hip_angle2,knee_angle2,head_y2,hip_y2,ankle_y2,elbow_angle3,shoulder_angle3,hip_angle3,knee_angle3,head_y3,hip_y3,ankle_y3,elbow_angle4,shoulder_angle4,hip_angle4,knee_angle4,head_y4,hip_y4,ankle_y4,elbow_angle5,shoulder_angle5,hip_angle5,knee_angle5,head_y5,hip_y5,ankle_y5,label
56.30438153,83.26586658,11.27986598,31.48405035,0.125,0.374074074,0.697222222,57.23823208,87.67320364,14.4564153,51.18485362,0.136111111,0.397222222,0.672222222,52.91483317,94.82772294,22.4374875,69.93188279,0.161111111,0.411111111,0.664814815,51.27130842,101.0840535,23.7915187,89.08387455,0.172222222,0.432407407,0.662962963,54.11237086,107.9871043,26.57031984,100.3456865,0.200925926,0.455555556,0.668518519,0
57.23823208,87.67320364,14.4564153,51.18485362,0.136111111,0.397222222,0.672222222,52.91483317,94.82772294,22.4374875,69.93188279,0.161111111,0.411111111,0.664814815,51.27130842,101.0840535,23.7915187,89.08387455,0.172222222,0.432407407,0.662962963,54.11237086,107.9871043,26.57031984,100.3456865,0.200925926,0.455555556,0.668518519,49.77267262,105.8396616,30.39146853,105.3387897,0.22037037,0.482407407,0.675925926,0
52.91483317,94.82772294,22.4374875,69.93188279,0.161111111,0.411111111,0.664814815,51.27130842,101.0840535,23.7915187,89.08387455,0.172222222,0.432407407,0.662962963,54.11237086,107.9871043,26.57031984,100.3456865,0.200925926,0.455555556,0.668518519,49.77267262,105.8396616,30.39146853,105.3387897,0.22037037,0.482407407,0.675925926,46.37025538,109.5967296,37.37794952,106.064342,0.237037037,0.510185185,0.705555556,0
51.27130842,101.0840535,23.7915187,89.08387455,0.172222222,0.432407407,0.662962963,54.11237086,107.9871043,26.57031984,100.3456865,0.200925926,0.455555556,0.668518519,49.77267262,105.8396616,30.39146853,105.3387897,0.22037037,0.482407407,0.675925926,46.37025538,109.5967296,37.37794952,106.064342,0.237037037,0.510185185,0.705555556,38.31312681,116.6487161,56.93264609,93.97587561,0.255555556,0.530555556,0.752777778,0
54.11237086,107.9871043,26.57031984,100.3456865,0.200925926,0.455555556,0.668518519,49.77267262,105.8396616,30.39146853,105.3387897,0.22037037,0.482407407,0.675925926,46.37025538,109.5967296,37.37794952,106.064342,0.237037037,0.510185185,0.705555556,38.31312681,116.6487161,56.93264609,93.97587561,0.255555556,0.530555556,0.752777778,41.78384302,118.2544326,63.53632685,73.16793679,0.27037037,0.542592593,0.811111111,0
49.77267262,105.8396616,30.39146853,105.3387897,0.22037037,0.482407407,0.675925926,46.37025538,109.5967296,37.37794952,106.064342,0.237037037,0.510185185,0.705555556,38.31312681,116.6487161,56.93264609,93.97587561,0.255555556,0.530555556,0.752777778,41.78384302,118.2544326,63.53632685,73.16793679,0.27037037,0.542592593,0.811111111,37.5261234,124.1175603,53.31070469,59.5507493,0.288888889,0.558333333,0.85462963,0
46.37025538,109.5967296,37.37794952,106.064342,0.237037037,0.510185185,0.705555556,38.31312681,116.6487161,56.93264609,93.97587561,0.255555556,0.530555556,0.752777778,41.78384302,118.2544326,63.53632685,73.16793679,0.27037037,0.542592593,0.811111111,37.5261234,124.1175603,53.31070469,59.5507493,0.288888889,0.558333333,0.85462963,43.90864011,128.5518219,68.25770757,37.48837832,0.29537037,0.568518519,0.884259259,0
38.31312681,116.6487161,56.93264609,93.97587561,0.255555556,0.530555556,0.752777778,41.78384302,118.2544326,63.53632685,73.16793679,0.27037037,0.542592593,0.811111111,37.5261234,124.1175603,53.31070469,59.5507493,0.288888889,0.558333333,0.85462963,43.90864011,128.5518219,68.25770757,37.48837832,0.29537037,0.568518519,0.884259259,40.4595165,128.0751009,83.63686587,25.86768687,0.307407407,0.584259259,0.913888889,0
41.78384302,118.2544326,63.53632685,73.16793679,0.27037037,0.542592593,0.811111111,37.5261234,124.1175603,53.31070469,59.5507493,0.288888889,0.558333333,0.85462963,43.90864011,128.5518219,68.25770757,37.48837832,0.29537037,0.568518519,0.884259259,40.4595165,128.0751009,83.63686587,25.86768687,0.307407407,0.584259259,0.913888889,41.75519806,130.2151659,96.40443494,18.27887091,0.328703704,0.602777778,0.951851852,0
37.5261234,124.1175603,53.31070469,59.5507493,0.288888889,0.558333333,0.85462963,43.90864011,128.5518219,68.25770757,37.48837832,0.29537037,0.568518519,0.884259259,40.4595165,128.0751009,83.63686587,25.86768687,0.307407407,0.584259259,0.913888889,41.75519806,130.2151659,96.40443494,18.27887091,0.328703704,0.602777778,0.951851852,41.65204894,128.1615143,37.86873711,11.23398202,0.355555556,0.630555556,0.952777778,0
43.90864011,128.5518219,68.25770757,37.48837832,0.29537037,0.568518519,0.884259259,40.4595165,128.0751009,83.63686587,25.86768687,0.307407407,0.584259259,0.913888889,41.75519806,130.2151659,96.40443494,18.27887091,0.328703704,0.602777778,0.951851852,41.65204894,128.1615143,37.86873711,11.23398202,0.355555556,0.630555556,0.952777778,43.0136593,129.9027687,115.508904,20.09513835,0.373148148,0.646296296,0.951851852,0
